iter	Passed	Remaining
0	152	458623
1	154	231147
2	155	155315
3	156	117341
4	157	94594
5	159	79497
6	160	68627
7	161	60526
8	163	54227
9	164	49158
10	165	45049
11	166	41573
12	168	38637
13	169	36158
14	170	33998
15	172	32103
16	173	30424
17	174	28928
18	175	27585
19	177	26377
20	178	25277
21	179	24281
22	180	23369
23	181	22531
24	182	21762
25	184	21058
26	185	20402
27	186	19801
28	188	19276
29	189	18747
30	190	18247
31	191	17783
32	192	17348
33	194	16937
34	195	16575
35	197	16220
36	198	15889
37	199	15570
38	201	15270
39	202	14971
40	203	14688
41	204	14416
42	205	14157
43	207	13917
44	208	13687
45	209	13465
46	211	13257
47	212	13056
48	213	12859
49	214	12683
50	216	12500
51	217	12321
52	218	12150
53	219	11983
54	220	11824
55	222	11674
56	223	11526
57	224	11383
58	225	11245
59	226	11112
60	227	10983
61	229	10863
62	230	10749
63	231	10633
64	233	10523
65	234	10413
66	235	10305
67	236	10200
68	237	10108
69	239	10019
70	240	9928
71	241	9837
72	243	9749
73	244	9669
74	245	9588
75	247	9504
76	248	9426
77	249	9353
78	250	9277
79	252	9202
80	253	9131
81	254	9059
82	255	8990
83	257	8923
84	258	8862
85	259	8798
86	260	8736
87	262	8675
88	263	8615
89	264	8557
90	265	8498
91	267	8442
92	268	8387
93	269	8332
94	270	8279
95	271	8227
96	273	8178
97	274	8126
98	275	8076
99	276	8030
100	278	7985
101	279	7939
102	280	7894
103	281	7850
104	283	7809
105	284	7769
106	285	7727
107	287	7690
108	288	7649
109	289	7609
110	291	7574
111	292	7536
112	293	7498
113	294	7461
114	296	7425
115	297	7392
116	298	7357
117	300	7327
118	301	7293
119	302	7262
120	303	7232
121	305	7199
122	306	7171
123	307	7139
124	309	7109
125	310	7079
126	311	7050
127	312	7021
128	314	6992
129	315	6963
130	316	6938
131	318	6909
132	319	6881
133	320	6853
134	321	6825
135	322	6800
136	324	6779
137	325	6754
138	326	6730
139	328	6704
140	329	6679
141	330	6659
142	333	6666
143	334	6642
144	336	6618
145	337	6597
146	338	6575
147	339	6551
148	341	6529
149	342	6506
150	343	6484
151	344	6461
152	346	6447
153	347	6427
154	349	6406
155	350	6385
156	351	6364
157	352	6342
158	353	6323
159	355	6302
160	356	6285
161	357	6269
162	359	6250
163	361	6242
164	362	6225
165	363	6207
166	364	6190
167	366	6176
168	367	6162
169	369	6155
170	371	6138
171	372	6122
172	373	6106
173	375	6097
174	377	6086
175	378	6071
176	379	6055
177	380	6039
178	382	6022
179	383	6005
180	384	5989
181	385	5972
182	386	5956
183	388	5940
184	389	5926
185	390	5911
186	391	5896
187	393	5881
188	394	5866
189	395	5853
190	396	5838
191	398	5824
192	399	5811
193	400	5796
194	402	5783
195	403	5770
196	404	5759
197	406	5754
198	408	5742
199	409	5730
200	410	5717
201	411	5705
202	413	5693
203	414	5681
204	415	5669
205	417	5656
206	418	5645
207	419	5633
208	420	5621
209	422	5611
210	423	5601
211	425	5591
212	426	5578
213	427	5565
214	428	5553
215	429	5540
216	431	5529
217	432	5517
218	433	5509
219	435	5498
220	436	5486
221	437	5475
222	438	5464
223	440	5457
224	441	5450
225	443	5440
226	444	5431
227	445	5421
228	447	5412
229	448	5404
230	450	5395
231	451	5386
232	452	5376
233	453	5366
234	455	5355
235	456	5344
236	457	5334
237	458	5324
238	460	5314
239	461	5304
240	462	5297
241	464	5288
242	465	5278
243	466	5268
244	467	5258
245	468	5249
246	470	5240
247	471	5231
248	472	5221
249	473	5212
250	475	5202
251	476	5197
252	477	5188
253	479	5179
254	480	5171
255	481	5163
256	482	5155
257	484	5147
258	485	5140
259	487	5133
260	488	5126
261	489	5119
262	491	5112
263	492	5106
264	494	5099
265	495	5091
266	496	5086
267	498	5079
268	499	5072
269	501	5065
270	502	5059
271	503	5051
272	505	5045
273	506	5038
274	507	5031
275	509	5024
276	510	5018
277	511	5012
278	513	5005
279	514	4998
280	516	4992
281	517	4986
282	518	4980
283	520	4974
284	521	4968
285	522	4962
286	524	4957
287	525	4951
288	527	4945
289	528	4939
290	529	4932
291	531	4925
292	532	4919
293	534	4916
294	535	4912
295	537	4908
296	550	5008
297	551	5001
298	552	4994
299	554	4986
300	555	4979
301	556	4972
302	557	4965
303	559	4957
304	560	4949
305	561	4941
306	562	4934
307	563	4927
308	564	4920
309	566	4912
310	567	4905
311	568	4897
312	569	4889
313	579	4959
314	580	4952
315	582	4944
316	583	4937
317	584	4929
318	585	4921
319	586	4915
320	588	4909
321	589	4902
322	590	4895
323	591	4888
324	593	4882
325	594	4876
326	595	4871
327	597	4864
328	598	4857
329	599	4850
330	600	4843
331	601	4837
332	603	4831
333	604	4825
334	605	4819
335	607	4813
336	608	4808
337	609	4803
338	611	4798
339	612	4792
340	613	4787
341	615	4782
342	616	4776
343	618	4774
344	619	4768
345	621	4764
346	622	4760
347	623	4755
348	625	4751
349	627	4747
350	628	4742
351	629	4736
352	630	4731
353	632	4725
354	633	4721
355	635	4716
356	636	4712
357	637	4707
358	639	4702
359	640	4699
360	642	4695
361	643	4690
362	644	4684
363	646	4679
364	647	4673
365	648	4669
366	650	4665
367	651	4660
368	653	4656
369	654	4651
370	655	4646
371	657	4641
372	658	4636
373	659	4632
374	661	4627
375	662	4623
376	663	4618
377	665	4613
378	666	4608
379	667	4603
380	669	4599
381	670	4594
382	671	4590
383	673	4585
384	674	4581
385	675	4576
386	677	4571
387	678	4566
388	679	4562
389	681	4557
390	682	4552
391	683	4547
392	684	4542
393	686	4537
394	687	4533
395	688	4529
396	690	4524
397	691	4521
398	693	4518
399	694	4514
400	695	4509
401	697	4504
402	698	4499
403	699	4494
404	700	4489
405	702	4485
406	703	4480
407	704	4476
408	705	4471
409	707	4466
410	708	4462
411	709	4459
412	711	4455
413	712	4451
414	713	4446
415	715	4442
416	716	4438
417	717	4434
418	719	4430
419	720	4426
420	721	4422
421	723	4418
422	724	4414
423	725	4410
424	727	4406
425	728	4401
426	729	4398
427	731	4393
428	732	4389
429	733	4385
430	735	4381
431	736	4377
432	737	4373
433	739	4369
434	740	4365
435	741	4361
436	742	4357
437	744	4354
438	745	4351
439	747	4347
440	749	4347
441	750	4344
442	752	4341
443	753	4338
444	755	4336
445	756	4334
446	758	4330
447	759	4326
448	760	4322
449	762	4318
450	763	4315
451	764	4311
452	766	4307
453	767	4304
454	768	4300
455	770	4296
456	771	4292
457	772	4288
458	773	4284
459	775	4280
460	776	4276
461	777	4272
462	778	4268
463	780	4264
464	781	4261
465	782	4257
466	784	4253
467	785	4249
468	786	4246
469	788	4242
470	789	4238
471	790	4234
472	792	4231
473	793	4227
474	794	4224
475	796	4221
476	797	4217
477	798	4214
478	800	4211
479	801	4207
480	802	4204
481	804	4200
482	805	4197
483	806	4193
484	807	4189
485	809	4185
486	810	4181
487	811	4178
488	812	4174
489	814	4170
490	815	4166
491	816	4163
492	817	4159
493	819	4155
494	820	4151
495	821	4148
496	822	4144
497	824	4140
498	825	4137
499	826	4134
500	828	4130
501	829	4126
502	830	4123
503	831	4119
504	833	4115
505	834	4112
506	835	4109
507	837	4106
508	838	4102
509	839	4099
510	840	4096
511	842	4093
512	843	4090
513	845	4086
514	846	4083
515	847	4080
516	848	4076
517	850	4073
518	851	4070
519	852	4067
520	854	4063
521	855	4060
522	856	4058
523	858	4055
524	859	4052
525	861	4049
526	862	4046
527	863	4043
528	864	4040
529	866	4036
530	867	4033
531	868	4030
532	870	4027
533	871	4024
534	872	4021
535	874	4018
536	875	4015
537	876	4012
538	878	4010
539	880	4009
540	881	4007
541	883	4005
542	884	4004
543	886	4002
544	887	3999
545	889	3996
546	890	3993
547	892	3993
548	893	3990
549	895	3987
550	896	3984
551	913	4053
552	915	4050
553	916	4046
554	917	4042
555	918	4038
556	920	4035
557	921	4031
558	922	4027
559	923	4023
560	924	4020
561	925	4016
562	926	4012
563	928	4009
564	930	4009
565	931	4005
566	932	4002
567	933	3998
568	934	3994
569	936	3992
570	937	3988
571	938	3985
572	940	3981
573	941	3978
574	942	3976
575	944	3974
576	945	3972
577	947	3969
578	948	3967
579	950	3964
580	951	3962
581	953	3959
582	954	3956
583	955	3954
584	957	3952
585	958	3949
586	960	3946
587	961	3943
588	962	3940
589	963	3937
590	965	3934
591	966	3931
592	967	3928
593	969	3926
594	970	3924
595	972	3924
596	974	3921
597	975	3918
598	976	3915
599	978	3912
600	979	3911
601	981	3908
602	982	3906
603	984	3903
604	985	3901
605	987	3899
606	988	3897
607	989	3894
608	991	3891
609	992	3888
610	993	3885
611	995	3882
612	996	3879
613	997	3877
614	999	3874
615	1000	3873
616	1002	3870
617	1003	3867
618	1004	3864
619	1006	3861
620	1007	3858
621	1008	3856
622	1009	3853
623	1011	3850
624	1012	3847
625	1013	3844
626	1015	3841
627	1016	3839
628	1017	3836
629	1019	3833
630	1020	3830
631	1021	3828
632	1023	3825
633	1024	3823
634	1025	3820
635	1027	3818
636	1028	3816
637	1030	3814
638	1031	3811
639	1033	3809
640	1034	3807
641	1035	3804
642	1037	3802
643	1038	3799
644	1040	3797
645	1041	3794
646	1042	3792
647	1044	3791
648	1046	3791
649	1048	3789
650	1049	3787
651	1051	3785
652	1052	3784
653	1054	3782
654	1055	3780
655	1057	3778
656	1059	3777
657	1060	3775
658	1061	3772
659	1063	3769
660	1064	3767
661	1065	3764
662	1067	3762
663	1068	3759
664	1070	3757
665	1071	3755
666	1073	3753
667	1074	3751
668	1075	3748
669	1077	3746
670	1078	3743
671	1080	3741
672	1081	3739
673	1082	3736
674	1083	3733
675	1085	3730
676	1086	3728
677	1087	3725
678	1089	3723
679	1090	3720
680	1091	3718
681	1093	3716
682	1094	3714
683	1096	3711
684	1097	3709
685	1098	3706
686	1100	3704
687	1101	3702
688	1103	3699
689	1104	3697
690	1105	3695
691	1107	3692
692	1108	3689
693	1109	3687
694	1110	3684
695	1112	3682
696	1113	3679
697	1115	3678
698	1117	3677
699	1118	3675
700	1119	3672
701	1121	3670
702	1122	3668
703	1124	3666
704	1125	3663
705	1126	3660
706	1128	3659
707	1129	3657
708	1131	3654
709	1132	3652
710	1133	3649
711	1135	3647
712	1136	3645
713	1137	3643
714	1139	3640
715	1140	3637
716	1141	3634
717	1142	3632
718	1158	3674
719	1159	3671
720	1160	3669
721	1162	3666
722	1163	3663
723	1164	3660
724	1165	3657
725	1166	3654
726	1167	3651
727	1169	3648
728	1170	3646
729	1172	3644
730	1173	3643
731	1175	3640
732	1176	3637
733	1177	3635
734	1178	3632
735	1179	3629
736	1181	3627
737	1182	3624
738	1184	3622
739	1185	3619
740	1186	3617
741	1188	3615
742	1189	3612
743	1190	3609
744	1191	3607
745	1192	3604
746	1194	3601
747	1195	3599
748	1196	3596
749	1197	3593
750	1199	3590
751	1200	3588
752	1201	3585
753	1202	3583
754	1204	3580
755	1205	3578
756	1207	3576
757	1208	3574
758	1209	3572
759	1211	3569
760	1212	3567
761	1213	3564
762	1215	3562
763	1216	3560
764	1217	3558
765	1219	3555
766	1220	3553
767	1221	3550
768	1223	3548
769	1224	3545
770	1225	3543
771	1227	3541
772	1228	3539
773	1229	3536
774	1231	3534
775	1232	3532
776	1233	3529
777	1235	3527
778	1236	3525
779	1237	3522
780	1238	3520
781	1240	3517
782	1241	3514
783	1242	3512
784	1243	3509
785	1245	3507
786	1246	3504
787	1247	3502
788	1248	3499
789	1250	3497
790	1251	3494
791	1252	3492
792	1253	3489
793	1255	3487
794	1256	3485
795	1257	3483
796	1259	3480
797	1261	3479
798	1262	3477
799	1263	3475
800	1264	3472
801	1266	3470
802	1267	3468
803	1269	3466
804	1270	3464
805	1271	3461
806	1273	3459
807	1274	3457
808	1276	3456
809	1277	3454
810	1279	3452
811	1280	3450
812	1281	3448
813	1283	3445
814	1284	3443
815	1285	3440
816	1286	3438
817	1288	3435
818	1289	3433
819	1290	3431
820	1291	3428
821	1293	3426
822	1294	3423
823	1295	3421
824	1296	3419
825	1298	3416
826	1299	3414
827	1300	3412
828	1302	3410
829	1303	3407
830	1307	3411
831	1308	3409
832	1309	3407
833	1311	3404
834	1312	3402
835	1313	3400
836	1314	3397
837	1316	3395
838	1317	3392
839	1318	3390
840	1319	3388
841	1321	3386
842	1322	3384
843	1323	3381
844	1325	3379
845	1326	3377
846	1327	3375
847	1329	3372
848	1330	3370
849	1331	3368
850	1333	3366
851	1334	3364
852	1335	3362
853	1337	3360
854	1338	3357
855	1339	3355
856	1341	3353
857	1342	3351
858	1343	3348
859	1344	3346
860	1346	3344
861	1349	3346
862	1350	3344
863	1351	3341
864	1353	3339
865	1354	3337
866	1355	3335
867	1357	3333
868	1358	3330
869	1359	3328
870	1360	3326
871	1362	3324
872	1363	3322
873	1364	3320
874	1366	3318
875	1367	3315
876	1368	3313
877	1370	3311
878	1371	3309
879	1373	3307
880	1374	3305
881	1375	3303
882	1376	3300
883	1378	3298
884	1379	3296
885	1380	3294
886	1382	3292
887	1383	3291
888	1385	3290
889	1386	3287
890	1388	3285
891	1389	3283
892	1390	3281
893	1392	3279
894	1393	3277
895	1394	3275
896	1396	3273
897	1397	3270
898	1398	3268
899	1399	3266
900	1401	3264
901	1402	3262
902	1403	3259
903	1405	3258
904	1406	3256
905	1407	3253
906	1409	3251
907	1410	3249
908	1411	3247
909	1413	3245
910	1414	3243
911	1416	3242
912	1417	3240
913	1418	3238
914	1420	3236
915	1421	3234
916	1423	3233
917	1424	3231
918	1426	3229
919	1427	3227
920	1428	3225
921	1430	3223
922	1431	3221
923	1432	3219
924	1434	3217
925	1435	3215
926	1436	3213
927	1438	3211
928	1439	3209
929	1440	3207
930	1442	3205
931	1443	3203
932	1444	3200
933	1446	3198
934	1447	3197
935	1448	3195
936	1450	3192
937	1451	3190
938	1452	3188
939	1454	3186
940	1455	3184
941	1456	3182
942	1458	3180
943	1459	3178
944	1460	3176
945	1461	3173
946	1463	3171
947	1464	3169
948	1465	3167
949	1467	3165
950	1468	3163
951	1469	3161
952	1470	3159
953	1472	3157
954	1473	3155
955	1474	3153
956	1476	3151
957	1477	3149
958	1478	3147
959	1480	3145
960	1481	3143
961	1482	3141
962	1484	3139
963	1485	3137
964	1486	3135
965	1488	3133
966	1489	3131
967	1490	3129
968	1492	3127
969	1493	3125
970	1495	3123
971	1496	3122
972	1497	3120
973	1499	3118
974	1500	3116
975	1501	3114
976	1502	3112
977	1504	3110
978	1505	3108
979	1507	3106
980	1508	3105
981	1510	3103
982	1511	3101
983	1513	3099
984	1514	3098
985	1515	3096
986	1517	3094
987	1518	3092
988	1519	3090
989	1521	3088
990	1522	3086
991	1523	3084
992	1525	3082
993	1526	3080
994	1527	3078
995	1528	3076
996	1530	3074
997	1531	3072
998	1532	3070
999	1534	3068
1000	1535	3066
1001	1537	3064
1002	1538	3062
1003	1539	3060
1004	1541	3059
1005	1542	3057
1006	1543	3055
1007	1545	3053
1008	1546	3051
1009	1547	3049
1010	1549	3047
1011	1550	3045
1012	1551	3044
1013	1553	3042
1014	1554	3040
1015	1555	3038
1016	1557	3036
1017	1558	3034
1018	1559	3032
1019	1561	3030
1020	1562	3028
1021	1563	3026
1022	1565	3024
1023	1566	3022
1024	1567	3020
1025	1568	3018
1026	1570	3016
1027	1571	3014
1028	1572	3012
1029	1573	3010
1030	1575	3008
1031	1576	3006
1032	1577	3004
1033	1579	3002
1034	1580	3000
1035	1581	2998
1036	1583	2996
1037	1584	2994
1038	1585	2992
1039	1587	2991
1040	1588	2988
1041	1589	2987
1042	1591	2985
1043	1592	2983
1044	1593	2981
1045	1595	2979
1046	1596	2978
1047	1597	2976
1048	1599	2974
1049	1600	2972
1050	1601	2970
1051	1603	2968
1052	1604	2967
1053	1605	2965
1054	1607	2963
1055	1608	2961
1056	1610	2959
1057	1611	2957
1058	1612	2955
1059	1614	2954
1060	1615	2952
1061	1616	2950
1062	1618	2948
1063	1619	2946
1064	1620	2944
1065	1622	2942
1066	1623	2940
1067	1624	2938
1068	1625	2937
1069	1627	2935
1070	1628	2933
1071	1629	2931
1072	1631	2929
1073	1632	2927
1074	1633	2925
1075	1635	2923
1076	1636	2921
1077	1637	2920
1078	1639	2918
1079	1640	2916
1080	1641	2914
1081	1643	2912
1082	1644	2910
1083	1645	2909
1084	1647	2907
1085	1648	2905
1086	1649	2903
1087	1651	2901
1088	1652	2899
1089	1653	2897
1090	1655	2896
1091	1656	2894
1092	1657	2892
1093	1660	2892
1094	1661	2890
1095	1662	2888
1096	1664	2886
1097	1665	2884
1098	1666	2883
1099	1667	2881
1100	1669	2879
1101	1670	2877
1102	1671	2875
1103	1673	2873
1104	1674	2871
1105	1675	2869
1106	1677	2867
1107	1678	2865
1108	1679	2864
1109	1681	2862
1110	1682	2860
1111	1683	2858
1112	1685	2857
1113	1686	2855
1114	1687	2853
1115	1689	2851
1116	1690	2849
1117	1691	2847
1118	1693	2845
1119	1694	2843
1120	1695	2842
1121	1697	2840
1122	1698	2838
1123	1699	2837
1124	1701	2835
1125	1702	2833
1126	1703	2831
1127	1705	2829
1128	1706	2827
1129	1707	2825
1130	1709	2824
1131	1710	2822
1132	1711	2820
1133	1713	2819
1134	1714	2817
1135	1715	2815
1136	1717	2813
1137	1718	2812
1138	1720	2810
1139	1721	2808
1140	1722	2806
1141	1724	2805
1142	1725	2803
1143	1726	2801
1144	1728	2799
1145	1729	2797
1146	1730	2796
1147	1732	2794
1148	1733	2792
1149	1734	2790
1150	1736	2789
1151	1737	2787
1152	1738	2785
1153	1740	2783
1154	1741	2781
1155	1742	2780
1156	1744	2778
1157	1745	2776
1158	1746	2774
1159	1748	2772
1160	1749	2771
1161	1750	2769
1162	1752	2767
1163	1753	2765
1164	1754	2764
1165	1756	2762
1166	1757	2760
1167	1758	2758
1168	1760	2757
1169	1761	2755
1170	1762	2753
1171	1764	2751
1172	1765	2750
1173	1767	2748
1174	1768	2747
1175	1769	2745
1176	1771	2743
1177	1772	2741
1178	1773	2739
1179	1775	2737
1180	1776	2736
1181	1777	2734
1182	1779	2732
1183	1780	2730
1184	1782	2729
1185	1783	2727
1186	1784	2726
1187	1786	2724
1188	1787	2722
1189	1788	2720
1190	1790	2719
1191	1791	2717
1192	1792	2715
1193	1794	2713
1194	1795	2712
1195	1796	2710
1196	1798	2708
1197	1799	2706
1198	1800	2704
1199	1802	2703
1200	1803	2701
1201	1804	2699
1202	1805	2697
1203	1807	2695
1204	1808	2694
1205	1810	2692
1206	1811	2690
1207	1812	2688
1208	1813	2687
1209	1815	2685
1210	1816	2683
1211	1817	2681
1212	1818	2679
1213	1820	2677
1214	1821	2675
1215	1822	2674
1216	1823	2672
1217	1825	2670
1218	1826	2668
1219	1828	2667
1220	1829	2665
1221	1830	2663
1222	1831	2661
1223	1833	2659
1224	1834	2658
1225	1835	2656
1226	1837	2654
1227	1838	2653
1228	1839	2651
1229	1841	2649
1230	1842	2647
1231	1843	2645
1232	1845	2644
1233	1846	2642
1234	1847	2640
1235	1848	2638
1236	1850	2636
1237	1851	2635
1238	1852	2633
1239	1854	2631
1240	1855	2629
1241	1856	2628
1242	1858	2626
1243	1859	2624
1244	1860	2623
1245	1862	2621
1246	1863	2619
1247	1864	2617
1248	1866	2616
1249	1867	2614
1250	1869	2613
1251	1870	2611
1252	1871	2609
1253	1872	2607
1254	1874	2606
1255	1875	2604
1256	1876	2602
1257	1878	2600
1258	1879	2598
1259	1880	2597
1260	1882	2595
1261	1883	2594
1262	1885	2592
1263	1886	2591
1264	1888	2589
1265	1889	2587
1266	1890	2586
1267	1892	2584
1268	1893	2582
1269	1894	2580
1270	1895	2578
1271	1897	2577
1272	1898	2575
1273	1899	2573
1274	1901	2572
1275	1902	2570
1276	1903	2568
1277	1905	2566
1278	1906	2565
1279	1907	2563
1280	1908	2561
1281	1910	2560
1282	1911	2558
1283	1913	2557
1284	1914	2555
1285	1915	2553
1286	1917	2551
1287	1918	2550
1288	1919	2548
1289	1921	2546
1290	1922	2545
1291	1923	2543
1292	1925	2541
1293	1926	2539
1294	1927	2538
1295	1929	2536
1296	1930	2534
1297	1931	2533
1298	1933	2531
1299	1934	2529
1300	1935	2528
1301	1937	2526
1302	1938	2524
1303	1939	2522
1304	1941	2521
1305	1942	2519
1306	1943	2517
1307	1945	2516
1308	1946	2514
1309	1947	2512
1310	1949	2511
1311	1950	2509
1312	1951	2507
1313	1953	2506
1314	1954	2504
1315	1956	2502
1316	1957	2501
1317	1958	2499
1318	1959	2497
1319	1961	2496
1320	1962	2494
1321	1963	2492
1322	1965	2491
1323	1966	2489
1324	1967	2487
1325	1969	2485
1326	1970	2484
1327	1971	2482
1328	1973	2480
1329	1974	2479
1330	1975	2477
1331	1977	2475
1332	1978	2474
1333	1979	2472
1334	1980	2470
1335	1982	2468
1336	1983	2467
1337	1984	2465
1338	1986	2463
1339	1987	2461
1340	1988	2460
1341	1990	2458
1342	1991	2456
1343	1992	2455
1344	1993	2453
1345	1995	2451
1346	1996	2450
1347	1997	2448
1348	1999	2447
1349	2000	2445
1350	2002	2443
1351	2003	2441
1352	2004	2440
