iter	Logloss
0	0.6863658951
1	0.6748698049
2	0.6658015531
3	0.6566046757
4	0.6491685714
5	0.6387902974
6	0.6295819831
7	0.6199894984
8	0.6133732783
9	0.6072523593
10	0.600878042
11	0.5928177097
12	0.5844056526
13	0.5770785806
14	0.5721986564
15	0.5660009205
16	0.5598496895
17	0.5548440247
18	0.5501244732
119	0.5542344908220	0.54935529321	0.5351778642
22	0.5300745163
23	0.5271613547
24	0.5233894288
25	0.519396836
26	0.5150420987
27	0.5112783476
28	0.5076366577
29	0.5021720791
330	0.5058573985331	0.503235103732	0.4922115456
33	0.4893940975
334	0.493980381335	0.4837616905
336	0.4886118647337	0.4858091763838	0.4836946403
39	0.4813445159
40	0.4795559505
41	0.4772343387
42	0.475003684
43	0.4717974893
44	0.4700971653
45	0.4680689931
46	0.4661259234747	0.46411681448	0.4551341652
4949	0.4606467850	0.4514446927
51	0.4497857235
52	0.448833842
53	0.4480549752
54	0.4469916774
55	0.4456104229
56	0.4441232178
57	0.443257514
58	0.4422901495
59	0.4408789264
60	0.4394877715
61	0.4385039522
62	0.4375582255
63	0.4361958001
64	0.4353980514
65	0.4346319307
66	0.4335834471
67	0.4329243181
68	0.4318210898
69	0.4307127976
70	0.4295274763
71	0.4285213925
72	0.4278944064
73	0.4270944367
74	0.425989901
75	0.4248898393
76	0.4245835524
77	0.4237513876
78	0.4233726414
79	0.4221728131
80	0.4211994134
81	0.4203338887
82	0.419732034
83	0.4186941082
84	0.4180483244
85	0.417210348
86	0.4165730529
87	0.4163066241
88	0.4156971008
89	0.4155697179
90	0.4151051557
91	0.4148424195
92	0.4142466363
93	0.4136432949
94	0.4132950639
95	0.4128226211
96	0.4124226973
97	0.4118887465
98	0.4112954634
99	0.4110237674
100	0.4106966785
101	0.409624497
102	0.4093044464
103	0.4090670192
104	0.4087067457
105	0.4084189334
106	0.4082107674
107	0.407840362
108	0.4072129368
109	0.4069958352
110	0.4065972799
111	0.4063839487
112	0.4057902036
113	0.4056173287
114	0.4052006156
115	0.4050204761
116	0.4048605395
117	0.4045248318
118	0.4043650785
119	0.4041177041
120	0.4034313176
121	0.4031687202
122	0.402961969
123	0.402473594
124	0.4022264678
125	0.4020175796
126	0.4018719455
127	0.4016701056
128	0.4013449972
129	0.4012518066
130	0.4010164874
131	0.4008709046
132	0.4007945009
133	0.4006052549
134	0.4000781647
135	0.3999535632
136	0.3997824255
137	0.399429228
138	0.3992933759
139	0.3990974535
140	0.3990453296
141	0.3989431891
142	0.3988777662
143	0.3987069493
144	0.3985199347
145	0.3982570462
146	0.3980817658
147	0.3979121392
148	0.3977858282
149	0.3976287387
150	0.3974443272
151	0.3973944326
152	0.3972099825
153	0.3969024449
154	0.3968511717
155	0.3968165107
156	0.3967249855
157	0.3965548443
158	0.3964919359
159	0.39644304
160	0.3962433771
161	0.3961673247
162	0.3960396835
163	0.3958887194
164	0.3957638597
165	0.3957176696
166	0.3954492507
167	0.3952961946
168	0.3949646143
169	0.3948110767
170	0.3947366842
171	0.3946721931
172	0.3945809969
173	0.3944748677
174	0.3943995815
175	0.3943815104
176	0.3943290699
177	0.3941913032
178	0.394072062
179	0.393986454
180	0.3939410573
181	0.393871433
182	0.3938393398
183	0.393709368
184	0.393670743
185	0.3935692933
186	0.3935148136
187	0.3934877497
188	0.393401608
189	0.3932973364
190	0.3932330847
191	0.3931997768
192	0.3931161133
193	0.3930680816
194	0.3930204636
195	0.3928973429
196	0.3928787753
197	0.3926843707
198	0.3926159829
199	0.3924695178
200	0.3924268857
201	0.3923813819
202	0.3923145004
203	0.3922900135
204	0.3922096284
205	0.3921749884
206	0.3921571473
207	0.3921188763
208	0.392008836
209	0.3919059047
210	0.3918447129
211	0.3918315251
212	0.391583142
213	0.3915319189
214	0.3915066258
215	0.3914566927
216	0.391419828
217	0.391383763
218	0.3913013287
219	0.3912797293
220	0.3912208745
221	0.3911870666
222	0.391136022
223	0.3911148326
224	0.3910975728
225	0.3909581302
226	0.3909001905
227	0.3908765875
228	0.3907977876
229	0.3907879105
230	0.3907103178
231	0.3906287981
232	0.3905414771
233	0.3904725574
234	0.3904610618
235	0.3904387875
236	0.3904076118
237	0.390364769
238	0.3903594447
239	0.3903340023
240	0.240	0.4001049632
241	0.4000529667
242	0.4000292496
243	0.3999810791
244	0.3999634602
245	0.3999320814
246	0.3999101747
247	0.3998811529
248	0.3998689612
249	0.399817626
250	0.3997967135
251	0.3996314777
252	0.3995814093
253	0.3995053252
254	0.3994142439
255	0.399256	0.38256	0.399257	0.38257	0.3990355932
258	0.399259	0.38259	0.398260	0.38260	0.3989377929
261	0.3989056709
262	0.3988125708
263	0.3987786679
264	0.3987263117
265	0.3987200582
266	0.3987079288
267	0.3986803267
268	0.3986450201
269	0.3986017678
270	0.3985769406
271	0.3985477224
272	0.3985152081
273	0.3984981817
274	0.3984866132
275	0.3984834818
276	0.3983710484
277	0.3983169396
278	0.3981905087
279	0.3981592105
280	0.3981353637
281	0.3980934318
282	0.3980598766
283	0.3979877834
284	0.3979159256
285	0.3978812828
286	0.3978597359
287	0.3977337739
288	0.3976800979
289	0.3976603465
290	0291	0.3869175056
292	0.3869005355
293	0.3868450712
294	0.386827412
295	0.3867953844
296	0.3867833287
297	0.3867636381
298	0.3867496664
299	0.3867346503
300	0.3866921235
301	0.3866827301	302	0.3866530482
303	0.386637303304	0.38662294
305	0.3865954312
306	0.3865816027
307	0.3865618363
308	0.386532153
309	0.3865015919
310	0.3864974351
311	0.38646558923312	0.3864483576312	0.3962521096
313	0.3962412172
314	0.3961614379
315	0.39615684053316	0.3961066089
317	0.3960681383
318	0.3960416873
319	0.3960178488
320	0.3959879675
321	0.3957393934
322	0.3957358113
323	0.3957151676
324	0.3956938748
325	0.3955826801
326	0.3955680847
327	0.3954507952
328	0.3953747151
329	0.3952440794
330	0.3951651613
331	0.3951578529
332	0.3950721656
333	0.3950540446
334	0.3950311487
335	0.3947310066
336	0.3947256926
337	0.3947148958
338	0.3947060725
339	0.3946711085
340	0.3946290699
341	0.3945572579
342	0.394523454
343	0.3945201337
344	0.3945148558
345	0.3944207873
346	0.394186441348	0.3853823173
349	0.385368545
350	0.3853126922
351	0.3852747977
352	0.3852520446
353	0.3852456501
354	0.3851978773
355	0.3851431451
356	0.3850880054
357	0.3850421106
358	0.3850383293
359	0.385034785
360	0.3850135921
361	0.3850063472
362	0.384770004
363	0.3847666144
364	0.3847621604
365	0.3847325412
366	0.3846743482
367	0.3846693136
368	0.3846543481
369	0.3846477952
370	0.3846413631
371	0.3845992618
372	0.3845826093
373	0.3845750774
374	0.3845592855
375	0.3844915931
376	0.3844703976
377	0.3844458915
378	0.3844421419
379	0.3844099394
380	0.3843164205
381	0.3843059813
382	0.3842926664
383	0.3842811491
384	0.3842758681
385	0.3842712186
386	0.3840457995
387	0.3840119737
388	0.3840059145
389	0.3839817317
390	0.3838155074
391	0.3838093323
392	0.3837976277
393	0.3837871764
394	0.3837800718
395	0.3837566876
396	0.3837369229
397	0.3837268794
398	0.3837103623
399	0.383693623
400	0.3836877016
401	0.383672446
402	0.3836648481
403	0.3836607891
404	0.383513872
405	0.3834872587
406	0.3834050741
407	0.3833535087
408	0.383311939
409	0.3833074535
410	0.383306529
411	0.3832808346
412	0.3832700548
413	0.3832315264
414	0.3830363756
415	0.3829298092
416	0.3829120977
417	0.3828844046
418	0.3828798789
419	0.3828747933
420	0.3827673107
421	0.3827567902
422	0.3827421	0.3423	0.3827422	0.3424	0.3827423	0.3925821429
424	0.3925755808
425	0.3925540034
426	0.3428	0.3826427	0.3925270653
428	0.3925244904
429	0.3924088233
430	0.3923869724
431	0.3923823551
432	0.3923488876
433	0.3923440439
434	0.3923385367
435	0.3923291209
436	0.3922647736
437	0.392167812
438	0.3921271777
439	0.3921184872
440	0.3921097094
441	0.3921037305
442	0.3920049013
443	0.3920007328
444	0.3919968973
445	0.3919790874
446	0.3919716724
447	0.3919032919
448	0.3918837274
449	0.3918758599
450	0.3918680587
451	0.3918572761
452	0.3917622046
453	0.3917563162
454	0.3917348179
455	0.3917192202
456	0.3915786517
457	0.3915479853
458	0.3915167551
459	0.3915055486
460	0.3914173335
461	0.3913658099
462	0.3913581122
463	0.3913536186
464	0.3913456286
465	0.3913345268
466	0.3913323901
467	0.3913212651
468	0.3913182683
469	0.3913127241
470	0.3911769296
