iter	Passed	Remaining
0	9	4259
1	15	367622	26	4184
3	34	4010
4	42	3973
5	50	3926
6	58	3845
7	59	3431
8	60	3113
9	64	2954
10	67	2831
11	76	2944
12	81	2884
13	88	2888
14	92	2799
15	93	2656
16	97	2616
17	102	2571
18	103	24619	108	2438
20	113	2437
2121	128	2618
22	133	2601
23	137	2555
24	141	2520
25	142	2443
26	152	2501
27	155	2456
28	156	229	129	158	230	165	2353
31	170	2344
32	132	178	233	133	185	234	188	2347
35	135	194	236	200	2352
37	207	2364
38	219	2428
39	222	2402
40	227	2386
41	231	2364
42	238	2373
43	245	2382
44	251	2376
45	257	2380
46	259	2340
47	264	2332
48	248	269	249	275	2319
50	250	284	2345
51	288	2323
52	291	2300
53	297	2298
54	305	2308
55	312	2316
56	320	2325
57	330	2353
58	342	2388
59	343	2353
60	349	2349
61	353	2331
62	354	2298
63	362	2306
64	369	2306
65	373	2294
66	381	2301
67	390	2312
68	395	2306
69	401	2301
70	405	2286
71	412	2286
72	416	2268
73	423	2274
74	429	2265
75	441	2295
76	445	2281
77	451	2274
78	462	2295
79	463	2267
80	465	2240
81	471	2236
82	478	2235
83	479	2209
84	487	2214
85	492	2205
86	494	2181
87	500	2179
88	507	2178
89	516	2186
90	517	2162
91	519	2138
92	520	2115
93	521	2092
94	525	2079
95	529	2069
96	533	2057
97	537	2045
98	542	2037
99	543	2017
100	54101	545101	54102	551102	55103	555103	565	1996
104	576	2009
105	585	2017
106	594	2021
107	597	2008
108	603	2004
109	604	1984
110	608	1974
111	615	1972
112	624	1977
113	626	1962
114	632	1958
115	639	1958
116	646	1957
117	648	1939
118	653	1933
119	655	1916
120	661	1912
121	671	1920
122	680	1924
123	681	1907
124	691	1915
125	700	1916
126	701	1900
127	707	1895
128	713	1890
129	717	1883
130	725	1882
131	726	1865
132	727	1849
133	736	1853
134	744	1853
135	748	1842
136	754	1839
137	759	1832
138	765	1827
139	766	1812
140	770	1803
141	774	1794
142	779	1786
143	784	1780
144	788	1771
145	793	1765
146	797	1757
147	800	1747
148	807	1746
149	809	1732
150	814	1725
151	818	1718
152	825	1716
153	830	1709
154	836	1704
155	843	1703
156	844	1689
157	851	1685
158	852	1672
159	857	1666
160	865	1666
161	866	1653
162	875	1654
163	881	1650
164	887	1646
165	895	1644
166	896	1632
167	901	1626
168	906	1620
169	908	1607
170	915	1606
171	917	1594
172	919	1583
173	921	1572
174	922	1560
175	926	1553
176	932	1548
177	937	1543
178	942	1536
179	943	1525
180	952	1526
181	958	1522
182	963	1516
183	967	1509
184	974	1505
185	980	1501
186	981	1490
187	986	1484
188	991	1478
189	994	1470
190	996	1460
191	997	1449
192	998	1438
193	1003	1433
194	1017	1440
195	1021	1433
196	1022	1422
197	1028	1418
198	1029	1407
199	1033	1400
200	1037	1393
201	1042	1388
202	1045	1380
203	1054	1379
204	1060	1376
205	1067	1373
206	1072	1367
207	1077	1362
208	1083	1358
209	1094	1360
210	1103	1359
211	1106	1351
212	1110	1344
213	1119	1344
214	1120	1334
215	1124	1327
216	1130	1323
217	1131	1313
218	1138	1310
219	1144	1306
220	1146	1296
221	1151	1291
222	1152	1282
223	1154	1272
224	1155	1263
225	1161	1259
226	1165	1253
227	1170	1247
228	1172	1239
229	1181	1237
230	1186	1232
231	1191	1227
232	1194	1220
233	1198	1213
234	1200	1205
235	1205	1200
236	1210	1195
237	1211	1186
238	1220	1185
23240	1248	1191
241	1253	1186
242	1255	1177
243	1258	1171
244	1267	1169
245	1269	1161
246	1271	1152
247	1272	1144
248	1273	1135
249	1276	1128
250	1281	1123
251	1283	1115
252	1289	1111
253	1290	1102
254	1294	1096
255	1295	1088
256	1304	1085
257	1307	1079
258	1309	1071
259	1314	1066
260	1325	1066
261	1328	1060
262	1332	1053
263	1336	1048
264	1344	1044
265	1354	1044
266	1356	1036
267	1357	1028
268	1362	1022
269	1366	1017
270	1370	1011
271	1380	1009
272	1384	1004
273	1387	997
274	1395	994
275	1396	986
276	1401	981
277	1402	973
278	1406	967
279	1415	965
280	1419	959
281	1425	955
282	1430	950
283	1436	945
284	1438	938
285	1440	931
286	1445	926
287	1450	921
288	1453	915
289	1455	908
290	1456	900
291	1457	8929292	1459	88292	1480	899
293	1485	894
294	1496	892
295	1510	892
296	1518	889
297	1520	882
298	1521	875
299	1524	869
30301	1521	851
302	1523	8430303	1531	841
304	1532	8330305	1536	8230306	1543	8230307	1549	8130308	1553	8130309	1564	81309	1577	819
31311	1569	799
312	1573	794
313	1581	790
314	1586	785
315	1588	778
316	1595	775
317	1598	769
318	1606	765
319	1608	758
320	1616	755
321	1618	748
322	1619	742
323	1626	738
324	1630	732
325	1635	727
326	1643	723
327	1645	717
328	1647	710
329	1652	706
330	1657	701
331	1659	694
332	1663	689
333	1667	684
334	1679	681
335	1682	675
336	1692	672
337	1698	668
338	1700	661
339	1708	658
340	1710	652
341	1711	645
342	1715	640
343	1718	634
344	1719	627
345	1722	622
346	1723	615
347	1725	609
348	1728	604
349	1734	599
350	1736	5935351	1738	5835352	1743	5835353	1747	5735354	1751	57354	1767	577
355	1769	571
356	1777	567
357	1781	562
358	1786	557
359	1790	552
360	1799	548
361	1800	542
362	1806	537
363	1807	531
364	1812	526
365	1813	520
366	1818	515
367	1826	511
368	1827	505
369	1840	502
370	1849	498
371	1859	494
372	1867	490
373	1872	485
374	1878	480
375	1885	476
376	1886	470
377	1887	464
378	1894	459
379	1903	455
380	1917	453
381	1926	448
382	1927	442
383	1940	439
384	1944	434
385	1950	429
386	1966	426
387	1974	422
388	2010	423
389	2020	419
390	2032	415
391	2051	413
392	2055	407
393	2060	402
394	2068	398
395	2072	392
396	2076	387
397	2078	381
398	2081	375
39400	2069	3640401	2079	3540402	2089	352
403	2092	3440404	2103	342
405	2105	337
406	2111	3340407	2112	32407	2130	329
408	2137	324
409	2140	318
410	2151	314
411	2153	308
412	2158	303
413	2159	297
